filename,name,url,url_basename,status,bytes,sha256,retrieved_utc
Saudi-Diabetes-Clinical-Practice-Guidelines.pdf,Saudi-Diabetes-Clinical-Practice-Guidelines,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Saudi-Diabetes-Clinical-Practice-Guidelines.pdf,Saudi-Diabetes-Clinical-Practice-Guidelines.pdf,downloaded,8883986,047d5ac77419acde3f826dfea53f95d7919677300ec0335e98bb18863166847e,2026-08-30T10:38:47Z
Lower-Respiratory-Tract-Infections.pdf,Lower-Respiratory-Tract-Infections,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Lower-Respiratory-Tract-Infections-Management-Protocol.pdf,Lower-Respiratory-Tract-Infections-Management-Protocol.pdf,downloaded,337849,648bf7041d2630f35f98662cb9e17b14c459de78396d6f7db9bfe3ac3aee7153,2026-08-30T10:38:48Z
Skin-and-Soft-Tissue-Infection.pdf,Skin-and-Soft-Tissue-Infection,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Skin-and-soft-tissue-Infection-Management-Protocol.pdf,Skin-and-soft-tissue-Infection-Management-Protocol.pdf,downloaded,299439,0ec6265382662f5fe7614ce3902b43e3c4068f84e9a432a4340ecdf4a066bd34,2026-08-30T10:38:49Z
Urinary-Tract-Infection.pdf,Urinary-Tract-Infection,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Urinary-Tract-Infection-management-protocol.pdf,Urinary-Tract-Infection-management-protocol.pdf,downloaded,255497,e1d224af846b5e07ba46fd8d4796dd746c5d538cc6a4fe008bfa3a41e53794c8,2026-08-30T10:38:50Z
Adult-Electrolyte-Replacement-Therapy.pdf,Adult-Electrolyte-Replacement-Therapy,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Adults-Electrolyte-Replacement-Therapy-protocol.pdf,Adults-Electrolyte-Replacement-Therapy-protocol.pdf,downloaded,456142,5afc0717d53b85f35e2a5b146759bae4010242286d6e5ffa875db8ab868219e2,2026-08-30T10:38:51Z
VTE-Prevention-Adults-v1.7.pdf,VTE-Prevention-Adults-v1.7,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/VTE_prophylaxis_PROTOCOL_V1.7_withForms_18_Sept_2024.pdf,VTE_prophylaxis_PROTOCOL_V1.7_withForms_18_Sept_2024.pdf,downloaded,1158538,b640f9f5764a757809967aa5b68c7f873c189ab8b8de99ca22f03fb3eaff7610,2026-08-30T10:38:53Z
Seasonal-Influenza-Therapeutic-Protocol.pdf,Seasonal-Influenza-Therapeutic-Protocol,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Seasonal-Influenza-Therapeutic-Protocol-1.pdf,Seasonal-Influenza-Therapeutic-Protocol-1.pdf,downloaded,126704,71e147a2cd412379acae484c6ec7d41f3eaedbf5106727a99f755bc5194ec298,2026-08-30T10:38:54Z
Glycemic-Control-Noncritical-Basal-Bolus.pdf,Glycemic-Control-Noncritical-Basal-Bolus,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Basal-Bolus-Insulin-Protocol.pdf,Basal-Bolus-Insulin-Protocol.pdf,downloaded,188092,339101cd7224b55042023fe2ca5abe7f652d20975031fdbe9920c0c682f42b15,2026-08-30T10:38:55Z
Stress-Ulcer-Prophylaxis-ICU-and-non-ICU.pdf,Stress-Ulcer-Prophylaxis-ICU-and-non-ICU,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/GI-STRESS-ULCER-PROPHYLAXIS.pdf,GI-STRESS-ULCER-PROPHYLAXIS.pdf,downloaded,166030,937de9ab94e5c694a2f4f7ea2f2998e808283973f1a2c2ae66b5479954f8017e,2026-08-30T10:38:56Z
Group-A-Streptococcal-Pharyngitis.pdf,Group-A-Streptococcal-Pharyngitis,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/MOH-Group-A-Streptococcal-Pharyngitis.pdf,MOH-Group-A-Streptococcal-Pharyngitis.pdf,downloaded,160200,eb50750b9e7c5015798b01a0315d21bdd9c4e6452452a36c6d131eb1b6d5aefc,2026-08-30T10:38:57Z
Adult-Obsessive-Compulsive-Disorder.pdf,Adult-Obsessive-Compulsive-Disorder,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Adult-Obsessive-Compulsive-Disorder.pdf,Adult-Obsessive-Compulsive-Disorder.pdf,downloaded,821011,76c6216e0a26a1cf69dc356c3671f054c60f5ab09fe4b7624c2b641982591156,2026-08-30T10:38:59Z
Anxiety-Disorders-Management.pdf,Anxiety-Disorders-Management,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/the-management-of-anxiety-disorders.pdf,the-management-of-anxiety-disorders.pdf,downloaded,498428,bd170fa83d04503e5e596071d4c74f1c375fd7ddf8667df3a0065d43e79265fa,2026-08-30T10:39:00Z
